Año,Estado,GINI,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,Ingreso promedio total,estado_codigo,cvegeo
2018,Guanajuato,0.3814,9760.7363,16992.1801,22153.5589,27438.225,33048.1335,39079.3287,46683.4411,58158.4631,75176.9854,131262.1209,0.1494,16.587,50.8966,29.0795,3.2875,,25.523,73.4608,0.0598,0.9564,0.2391,12.4626,54.5427,30.006,1.584,1.1656,0.0598,0.8667,5.1405,17.3042,25.6426,50.6575,0.3288,0.8667,26.1805,53.5565,14.734,0.9564,3.7059,6.5152,7.2624,86.1327,0.0897,11.4166,6.4555,82.098,0.0299,1.2552,39.2409,28.153,20.7711,4.5129,6.0669,0.0598,18.2008,50.1195,29.199,2.4208,,1.1058,38.1949,31.6796,19.217,4.9611,4.8416,0.1793,6.9038,31.59,51.5541,9.6533,0.1195,0.0299,26.6587,23.8195,27.9438,13.0006,8.5475,15.4214,35.2361,49.3425,,8.8464,25.9414,65.2122,,19.2767,80.4543,0.269,22.9702,14.1811,14.6543,20.0986,17.6261,43.0199,1.7889,3.1754,45975.3173,11,11
2018,Guerrero,0.4281,5143.5093,8541.264,11828.3503,15027.6329,18844.0671,23037.3775,28846.4195,36639.2426,48817.862,91639.5848,,6.3664,42.042,30.2703,21.3213,,31.7117,68.2883,,,,7.3273,37.6577,24.3243,30.6907,,,0.1201,1.8018,21.5616,28.5285,47.988,,,4.5646,57.2973,23.8438,14.2943,,,5.8859,94.1141,,2.2823,10.2102,87.5075,,,17.3574,45.2252,32.6727,4.7447,,,1.8018,56.6366,40.0601,1.5015,,,14.1141,57.7177,26.8468,1.3213,,,0.1201,12.2523,52.3724,35.2553,,,19.5796,49.009,25.1652,6.2462,,3.3634,61.5015,35.1351,,,52.4324,47.5676,,5.4655,94.5345,,30.1577,19.8423,18.0931,25.9084,21.7838,56.3792,,,28836.531,12,12
2018,Hidalgo,0.4023,7563.4331,13546.8206,17897.199,21965.9212,26442.0361,31572.0919,38048.3138,46456.071,60986.1764,119915.0965,0.379,11.3698,63.6708,21.9816,2.5988,,32.5393,67.4607,,,0.758,14.889,65.3492,18.2999,0.7038,,,,4.0065,18.7331,50.5685,26.6919,,1.7867,7.5799,33.5138,50.7309,6.3887,,2.9237,10.4494,86.627,,10.8825,14.9432,74.1743,,2.1657,31.4564,45.804,18.8955,1.6784,,0.6497,15.2139,65.1868,16.4591,2.4905,,2.274,35.5712,46.5079,14.5642,1.0828,,,1.7325,38.928,51.0016,8.3378,,,15.3221,47.7531,33.3514,3.5734,,5.5225,34.3801,60.0975,,2.0574,31.3481,66.5945,,24.2555,75.7445,,26.6874,9.9689,18.8278,27.8357,19.2537,53.6468,,,38439.316,13,13
2018,Jalisco,0.395,13332.887,21824.0602,27824.884,33880.353,41143.9555,49114.912,58351.8417,71302.9479,94699.5007,183309.879,0.2827,11.4229,37.3992,48.8012,2.094,,23.5054,74.8403,0.1256,1.5286,0.0209,16.2496,45.88,30.6355,4.9314,2.2825,0.0314,0.335,3.4028,10.8575,25.6832,58.5593,1.1308,0.4607,15.1188,29.6199,19.956,29.7979,5.0466,2.963,5.6853,91.2575,0.0942,2.9735,6.2821,90.4827,0.2618,0.3665,23.6624,41.8176,31.5988,1.6019,0.9528,0.1047,10.3759,41.7443,45.5764,2.1987,,0.4293,24.1231,41.1685,30.8449,1.759,1.6752,,1.4135,23.5368,68.4326,6.5752,0.0419,0.0733,14.187,29.3791,43.9849,6.3449,6.0308,8.3866,42.6238,48.9268,0.0628,3.7692,21.7045,74.2017,0.3246,30.9182,62.4437,6.638,19.4081,20.5594,10.6871,26.454,16.2279,43.2253,1.3797,3.0625,59478.5221,14,14
2018,Mexico,0.3701,12460.8821,19330.6514,24345.0135,29265.3532,34224.4866,40218.2133,47179.951,57434.3086,74149.2548,140395.2917,0.0809,2.6422,53.3702,37.2338,6.673,,9.5848,87.2338,0.0539,3.1275,0.2831,7.2391,39.1076,47.4926,5.5136,0.364,0.1213,2.1704,14.1278,8.5333,16.0286,58.8029,0.2157,1.0245,5.0418,24.1709,26.1796,43.5023,0.0809,1.9682,2.5209,95.4974,0.0135,4.3678,4.7048,90.9275,,0.9032,16.5678,39.6872,21.0973,21.2052,0.5392,0.4179,4.1521,53.1949,31.7201,10.515,,1.1459,22.2971,38.0291,17.2418,21.003,0.2831,0.1348,0.9976,16.8644,63.6425,18.3607,,0.5392,16.0286,16.0825,29.6576,37.3955,0.2966,3.3432,22.7959,73.8474,0.0135,0.9437,15.031,83.9714,0.0539,8.9108,90.7118,0.3775,19.374,20.8361,8.1087,30.4125,9.2924,60.9244,0.2123,0.1977,47900.3406,15,15
2018,Michoacan de ocampo,0.3894,9676.0317,16188.6662,20663.7164,24848.802,29239.6622,34437.8142,41229.8804,50766.0241,65845.2867,130461.7146,,10.9806,58.9548,27.0112,3.0534,,25.6019,74.222,0.1762,,1.1744,29.2425,37.9331,26.835,4.815,,,3.4058,5.872,17.9096,16.2654,56.5473,,1.7616,13.0358,36.6412,17.0288,30.8867,0.6459,2.4662,7.3987,90.1351,,2.4075,7.5161,90.0763,,1.9378,37.4046,31.7675,23.4292,5.1086,0.3523,,12.4486,63.5349,20.7281,3.2883,,1.9378,37.5807,34.4099,19.7886,5.9307,0.3523,,7.1638,30.5344,51.791,10.5109,,1.879,29.0664,24.8972,28.5966,14.9736,0.5872,14.9149,29.4774,55.6078,,2.5837,33.1767,64.2396,,26.9524,72.8127,0.2349,29.0957,13.5423,15.4257,23.4953,16.9881,55.5239,0.2789,0.6166,42335.7599,16,16
2018,Morelos,0.3905,9713.2947,15855.36,19845.246,24104.5651,29340.9098,34920.516,41182.4888,50115.6952,65425.9012,129076.9576,1.3746,14.3348,43.5935,36.6225,4.0746,,22.8768,77.1232,,,0.7364,29.3569,45.1154,20.6186,3.6328,0.54,0.8346,8.1001,19.6367,25.2823,13.3039,32.646,0.1964,3.0928,19.4894,41.8753,14.5803,20.7658,0.1964,7.0692,10.3584,82.5724,,10.6038,13.8439,75.5523,,5.0074,35.0025,37.6534,18.2622,3.8783,0.1964,1.3746,15.3166,48.7482,31.0751,3.4855,,2.5037,36.0825,41.3353,15.9057,3.9764,0.1964,0.4418,6.1856,27.0005,53.4119,12.9602,,1.9637,28.2769,34.5115,26.0187,9.0329,0.1964,11.4875,28.1296,60.3829,,3.0437,32.7442,64.2121,,25.8714,74.1286,,23.5272,14.66,15.9507,21.9195,18.5567,54.6672,0.3109,0.1964,41958.0934,17,17
2018,Nayarit,0.4007,9304.2886,16554.258,21447.7658,26825.1803,32649.6165,39760.775,48074.8855,58544.5313,76460.6439,144332.3997,1.6706,25.5967,31.6229,36.7542,4.3556,,40.8115,58.7112,0.179,0.2983,2.327,35.4415,34.7852,24.7017,1.432,1.3126,0.2387,10.0239,18.1981,21.3007,22.494,27.0883,0.6563,4.4749,32.3986,27.9833,22.4344,11.0979,1.611,19.9881,4.4749,75.0597,0.4773,25.0597,4.1766,70.4654,0.2983,6.4439,47.0167,15.0358,23.3294,6.6826,1.4916,0.6563,27.864,27.9833,40.7518,2.7446,,4.6539,46.2411,17.1241,24.9403,5.6683,1.3723,0.4773,6.2649,20.2864,61.9332,10.5609,0.4773,2.2673,40.3938,14.7375,26.6706,14.4391,1.4916,22.9714,29.2363,47.7924,,13.6635,33.0549,52.9833,0.2983,46.7184,51.253,2.0286,20.9924,18.1533,14.8121,23.8663,24.0545,34.7255,0.9323,1.0591,47395.4345,18,18
2018,Nuevo leon,0.3967,15733.3183,25251.1465,31458.1377,38051.9881,45159.7252,52933.123,62900.7652,75801.4476,98030.8449,214866.3209,1.4398,18.3901,52.0397,27.0833,1.0035,0.0436,30.8464,69.0009,0.0109,0.1418,0.8617,23.4402,63.4271,10.853,0.9271,0.4908,0.1418,3.9049,16.8194,37.6963,6.5772,34.4023,0.4581,5.0611,25.4036,51.5598,14.6161,2.2906,1.0689,12.26,11.4965,76.2325,0.0109,15.445,9.5877,74.8909,0.0764,2.9777,33.377,44.3499,16.8848,1.178,1.2325,1.4289,19.1318,57.1335,21.6623,0.6108,0.0327,3.1195,33.3551,46.0406,15.6523,0.8508,0.9817,0.24,8.4206,33.9114,54.0358,3.3377,0.0545,1.3089,25.709,35.7766,31.7517,3.2177,2.236,17.8774,34.9913,47.0659,0.0654,8.0061,44.3717,47.5785,0.0436,29.5593,70.1025,0.3381,26.0653,10.6157,17.3547,19.1904,23.2439,35.7754,0.3024,0.9544,66018.6817,19,19
2018,Oaxaca,0.4563,5305.31,8877.2619,12017.6705,15435.2637,19112.9736,23575.4205,29484.5461,38116.0256,53037.349,110709.577,0.2119,12.2881,55.2436,30.8792,1.3771,,29.2373,70.4979,0.2648,,0.7415,30.9322,52.9661,13.8242,1.3771,0.1589,0.7945,7.6801,22.2987,16.4195,31.5148,21.1335,0.1589,1.6949,23.1462,50.0,14.7246,10.2754,0.1589,2.1186,4.714,93.1674,,13.0297,7.3093,79.661,,2.2246,36.8644,45.2331,13.5593,2.1186,,0.3178,17.0021,56.1441,24.4703,2.0657,,1.7479,40.1483,43.5381,12.8178,1.536,0.2119,,5.0847,34.375,53.8665,6.6737,,0.5297,31.8326,35.5403,23.5169,6.9386,1.6419,11.1758,32.3093,56.5148,,4.0254,26.2712,69.7034,,25.7415,73.9936,0.2648,25.9137,11.103,19.3615,20.4913,18.5055,54.1541,0.2251,0.6532,31567.1398,20,20
