Unnamed: 0,Año,Estado,Municipio,municipio,GINI,decil_1,decil_2,decil_3,decil_4,decil_5,decil_6,decil_7,decil_8,decil_9,decil_10,p1_Respuesta_1,p1_Respuesta_2,p1_Respuesta_3,p1_Respuesta_4,p1_Respuesta_5,p1_Respuesta_6,p10_Respuesta_1,p10_Respuesta_2,p10_Respuesta_3,p10_Respuesta_4,p11_Respuesta_1,p11_Respuesta_2,p11_Respuesta_3,p11_Respuesta_4,p11_Respuesta_5,p11_Respuesta_6,p12_Respuesta_1,p12_Respuesta_2,p12_Respuesta_3,p12_Respuesta_4,p12_Respuesta_5,p12_Respuesta_6,p12_Respuesta_7,p13_Respuesta_1,p13_Respuesta_2,p13_Respuesta_3,p13_Respuesta_4,p13_Respuesta_5,p13_Respuesta_6,p14_Respuesta_1,p14_Respuesta_2,p14_Respuesta_3,p14_Respuesta_4,p15_Respuesta_1,p15_Respuesta_2,p15_Respuesta_3,p15_Respuesta_4,p2_Respuesta_1,p2_Respuesta_2,p2_Respuesta_3,p2_Respuesta_4,p2_Respuesta_5,p2_Respuesta_6,p3_Respuesta_1,p3_Respuesta_2,p3_Respuesta_3,p3_Respuesta_4,p3_Respuesta_5,p3_Respuesta_6,p4_Respuesta_1,p4_Respuesta_2,p4_Respuesta_3,p4_Respuesta_4,p4_Respuesta_5,p4_Respuesta_6,p5_Respuesta_1,p5_Respuesta_2,p5_Respuesta_3,p5_Respuesta_4,p5_Respuesta_5,p5_Respuesta_6,p6_Respuesta_1,p6_Respuesta_2,p6_Respuesta_3,p6_Respuesta_4,p6_Respuesta_5,p6_Respuesta_6,p7_Respuesta_1,p7_Respuesta_2,p7_Respuesta_3,p7_Respuesta_4,p8_Respuesta_1,p8_Respuesta_2,p8_Respuesta_3,p8_Respuesta_4,p9_Respuesta_1,p9_Respuesta_2,p9_Respuesta_3,Percepcion_Economica_Personal_Positiva,Percepcion_Economica_Personal_Negativa,Percepcion_Naciona_Positiva,Percepcion_Nacional_Negativa,Consumo_Ahorro_Positivo,Consumo_Ahorro_Negativo,Incertidumbre_Economica_Personal,Incertidumbre_Economica_Nacional,Ingreso promedio total,Region,Cluster,estado_numero,estado_codigo,cvegeo
10.0,2018,Colima,Colima,2,0.3724,11129.3891,19503.8052,26954.9599,34579.2164,40831.1397,47683.2856,55593.484,68069.9994,89388.9379,149805.9638,0.8205,44.8205,20.9231,32.0,1.4359,,37.8462,61.7436,,0.4103,0.5128,26.2564,44.2051,26.5641,2.4615,,,,2.9744,63.5897,17.641,15.7949,,,19.8974,54.9744,23.6923,1.4359,,6.6667,20.7179,72.6154,,32.3077,20.9231,46.7692,,1.7436,47.6923,40.0,10.5641,,,0.6154,35.3846,38.0513,24.4103,1.5385,,1.3333,51.0769,35.7949,11.5897,0.2051,,,3.8974,13.641,56.2051,26.2564,,2.0513,30.0513,36.2051,27.0769,4.2051,0.4103,50.5641,27.2821,22.1538,,26.359,32.5128,41.1282,,50.2564,49.7436,,26.5214,11.6777,20.4615,27.5128,28.9546,34.6026,0.0,0.4103,54354.0181,Centro-Occidente,3.0,8,6,06002
11.0,2018,Colima,Villa de Álvarez,10,0.3659,14992.3689,23822.3213,30137.2546,37685.19,45546.9636,55804.0128,67143.3054,81398.8453,104624.634,166183.8575,1.7467,45.4148,22.7074,29.4032,0.7278,,40.4658,59.5342,,,0.1456,30.5677,40.3202,27.6565,1.1645,0.1456,,,2.1834,62.1543,22.7074,12.9549,,1.6012,27.2198,50.2183,19.214,1.7467,,12.3726,29.4032,58.2242,,28.2387,26.492,45.2693,,1.1645,55.0218,31.5866,11.4993,0.7278,,0.8734,35.2256,34.0611,29.4032,0.4367,,0.2911,57.4964,31.8777,9.3159,1.0189,,,2.7656,14.8472,62.1543,20.2329,,6.6958,32.0233,35.8079,21.2518,4.2213,,55.8952,21.6885,22.4163,,25.9098,41.4847,32.6055,,56.9141,43.0859,,26.4556,10.3166,19.2625,26.7103,31.5306,34.9553,0.1456,0.0,62733.8753,Centro-Occidente,3.0,8,6,06010
12.0,2018,Distrito federal,Azcapotzalco,2,0.3078,21849.6715,32662.1113,38198.4253,43824.0446,52413.4673,57518.2372,69658.1319,84011.4036,103568.0299,154425.2117,,,48.5,46.75,4.75,,12.25,79.0,,8.75,,6.5,56.5,36.5,0.5,,,1.25,2.25,16.25,31.75,47.75,0.75,,4.0,23.0,39.25,33.75,,,1.25,98.75,,,3.25,96.75,,,20.25,37.25,38.25,3.0,1.25,,,45.75,49.0,5.25,,,21.75,35.0,41.0,1.5,0.75,,,12.75,75.5,11.75,,,10.75,42.25,39.5,5.75,1.75,0.25,30.0,69.75,,,15.5,84.5,,15.25,84.75,,34.75,23.6875,13.75,31.6875,15.6389,57.8125,1.0,1.25,65812.8734,Centro,1.0,7,9,09002
13.0,2018,Distrito federal,Coyoacán,3,0.4025,18433.1512,28824.9884,36237.4185,45678.6414,58602.6489,73588.1608,88396.9681,111174.8927,148090.5257,250798.4208,0.146,2.4818,48.9051,41.7518,6.7153,,18.8321,76.6423,0.438,4.0876,,4.0876,65.1095,28.4672,2.3358,,,,2.0438,15.4745,44.3796,37.9562,0.146,,8.3212,41.8978,28.6131,21.1679,,0.8759,2.7737,96.3504,,1.0219,6.8613,92.1168,,0.5839,18.2482,50.365,27.2993,3.5036,,0.146,2.1898,52.4088,40.0,5.2555,,0.5839,22.6277,45.5474,26.8613,4.3796,,,1.3139,21.7518,62.9197,14.0146,,0.5839,16.9343,39.4161,33.8686,8.9051,0.292,1.0219,53.5766,45.4015,,0.5839,22.3358,77.0803,,21.8978,77.0803,1.0219,20.3528,19.4708,16.5328,28.6679,16.5815,50.9307,0.7299,0.219,85982.5816,Centro,1.0,7,9,09003
14.0,2018,Distrito federal,Cuajimalpa de Morelos,4,0.4971,20655.0767,27343.71,30038.6339,43131.4123,46850.0799,51181.7096,56795.3369,64623.1496,79887.1488,428428.3394,,1.4599,56.2044,41.6058,0.7299,,13.1387,83.2117,,3.6496,,11.6788,61.3139,23.3577,3.6496,,,,,23.3577,37.2263,39.4161,,,15.3285,28.4672,31.3869,24.8175,,2.9197,2.1898,94.8905,,,,100.0,,,21.1679,48.1752,27.7372,2.9197,,,2.9197,51.8248,44.5255,0.7299,,2.1898,24.8175,37.2263,32.8467,2.9197,,,,21.8978,72.9927,5.1095,,0.7299,21.8978,29.1971,48.1752,,,4.3796,57.6642,37.9562,,1.4599,29.927,68.6131,,15.3285,84.6715,,27.3317,19.2518,19.5864,34.7237,20.0,50.0,0.0,0.0,84893.4597,Centro,3.0,7,9,09004
15.0,2018,Distrito federal,Gustavo A. Madero,5,0.3902,13542.9504,23949.6084,31066.2665,38183.6735,45655.2146,57164.936,65302.2249,82912.8877,111616.8858,190971.4899,,2.2999,48.0221,45.7222,3.9558,,20.0552,73.0451,,6.8997,,14.2594,58.0497,26.5869,0.828,0.276,,1.104,5.0598,21.8031,42.2263,29.8068,,,9.1996,36.1546,41.0304,13.0635,0.552,0.46,2.9439,96.3201,0.276,0.644,5.7958,93.5603,,,27.8749,51.8859,17.9393,1.7479,0.552,,1.7479,44.5262,48.85,4.8758,,,34.3146,45.3542,18.4913,1.2879,0.552,,,12.1435,79.4848,8.3717,,,26.3109,38.1785,30.0828,4.7838,0.644,3.7718,44.4342,51.7939,,1.2879,22.4471,76.2649,,19.6872,79.6688,0.644,32.0032,17.8588,18.3073,30.1058,16.153,51.4259,0.46,0.598,66036.6138,Centro,3.0,7,9,09005
16.0,2018,Distrito federal,Iztacalco,6,0.3491,12028.5584,22423.4749,27711.5022,33781.5936,41879.2231,47302.8331,52744.5222,64545.5277,84576.7417,141427.3567,,1.5464,36.0825,60.567,1.8041,,21.6495,78.3505,,,,10.8247,57.4742,29.1237,2.5773,,,,6.1856,13.1443,43.5567,37.1134,,,8.7629,32.4742,41.4948,17.268,,,1.5464,98.4536,,0.7732,5.1546,94.0722,,0.7732,18.0412,50.2577,29.1237,1.8041,,,2.0619,35.0515,61.0825,1.8041,,,27.0619,47.9381,21.6495,3.3505,,,,12.1134,79.8969,7.9897,,0.7732,12.6289,41.4948,32.732,11.5979,0.7732,4.1237,45.6186,50.2577,,2.0619,20.6186,77.3196,,13.1443,84.5361,2.3196,24.3127,22.6482,16.3476,30.9601,16.6354,60.0884,2.3196,0.7732,52842.1334,Centro,3.0,7,9,09006
17.0,2018,Distrito federal,Iztapalapa,7,0.3036,14827.0502,20695.4568,25941.2464,30446.1137,35439.563,39601.258,45254.543,52202.308,65512.9869,105019.3349,,2.0752,57.7678,38.6988,1.4582,,16.433,79.1924,0.4487,3.926,,7.7398,61.1329,28.9961,2.1312,,,0.7852,3.9821,19.2933,39.7644,35.8946,0.2804,0.2243,14.4139,33.2586,37.7454,13.9091,0.4487,0.6169,2.0191,97.364,,1.2339,4.9355,93.8306,,1.0095,23.9484,50.4767,23.3315,1.2339,,,2.1312,60.7403,36.1189,1.0095,,2.2995,28.7717,42.1761,25.687,1.0656,,,0.6169,19.7981,71.3404,8.2445,,2.2995,26.5283,28.8278,34.885,6.8985,0.5609,1.9069,55.8609,42.2322,,0.1683,24.2288,75.6029,,10.7123,88.783,0.5048,27.1397,16.0754,13.0735,29.0101,15.5824,52.2785,0.4767,0.43,43493.9861,Centro,4.0,7,9,09007
18.0,2018,Distrito federal,La Magdalena Contreras,8,0.4942,17615.3173,26705.4194,31051.3388,36118.3551,55817.2583,61008.1891,66065.3662,84905.3723,172867.1494,367603.9879,,4.4944,58.0524,37.4532,,,18.7266,77.1536,,4.1199,,5.9925,67.7903,26.2172,,,,,0.7491,12.3596,58.8015,28.0899,,,16.8539,23.97,44.1948,14.9813,,,5.618,94.382,,,10.4869,89.5131,,,25.0936,49.0637,25.8427,,,,,71.9101,28.0899,,,,35.5805,35.5805,28.839,,,,,28.0899,68.5393,3.3708,,,34.0824,28.0899,31.8352,5.9925,,3.7453,51.3109,44.9438,,,28.0899,71.9101,,25.8427,73.0337,1.1236,39.9679,30.0562,21.9725,30.0094,24.1781,55.9658,1.1236,0.0,91975.7754,Centro,1.0,7,9,09008
19.0,2018,Distrito federal,Milpa Alta,9,0.3749,9690.9063,14101.4694,16426.4261,24963.4989,29700.2685,36948.2344,48422.2655,72657.4704,79342.2228,94982.6079,,,45.7317,54.2683,,,,100.0,,,,,86.5854,13.4146,,,,,,4.878,46.3415,48.7805,,,3.6585,29.2683,39.6341,27.439,,,,100.0,,,4.2683,95.7317,,,18.2927,60.3659,21.3415,,,,,45.7317,54.2683,,,,27.439,48.1707,24.3902,,,,,7.9268,89.6341,2.439,,,10.9756,28.0488,60.9756,,,,37.8049,62.1951,,,,100.0,,2.439,97.561,,40.9553,38.5671,15.9756,38.7631,32.7744,78.8618,0.0,0.0,42723.537,Centro,4.0,7,9,09009
